"Start Button Clicked","2025-09-10T15:13:47.022Z"
"Next Button Clicked","2025-09-10T15:13:49.271Z"
"Start Button Clicked","2025-09-10T15:15:31.609Z"
"Next Button Clicked","2025-09-10T15:15:34.173Z"
"Mobile Button Clicked","2025-09-10T15:15:35.995Z"
"Start Button Clicked","2025-09-10T15:20:48.159Z"
"Next Button Clicked","2025-09-10T15:20:49.172Z"
"Mobile Button Clicked","2025-09-10T15:20:50.488Z"
"Start Button Clicked","2025-09-10T15:25:30.041Z"
"Next Button Clicked","2025-09-10T15:25:31.337Z"
"Desktop Button Clicked","2025-09-10T15:25:32.982Z"
"Desktop Button Clicked","2025-09-10T15:26:23.606Z"
"Start Button Clicked","2025-09-10T15:28:28.125Z"
"Next Button Clicked","2025-09-10T15:28:29.771Z"
"Mobile Button Clicked","2025-09-10T15:28:31.074Z"
"Desktop Button Clicked","2025-09-10T15:28:34.644Z"
"Mobile Button Clicked","2025-09-10T15:29:02.269Z"
"Mobile video 1","2025-09-10T15:29:29.802Z"
"Desktop Button Clicked","2025-09-10T15:29:34.045Z"
"Desktop video 2","2025-09-10T15:29:35.017Z"
"Desktop video 3","2025-09-10T15:29:45.812Z"
"Start Button Clicked","2025-09-10T15:34:05.898Z"
"Next Button Clicked","2025-09-10T15:34:06.973Z"
"Mobile Button Clicked","2025-09-10T15:34:07.934Z"
"Mobile video 4","2025-09-10T15:34:08.756Z"
"Desktop Button Clicked","2025-09-10T15:34:12.211Z"
"Desktop video 4","2025-09-10T15:34:12.879Z"
"Start Button Clicked","2025-09-10T15:42:34.925Z"
"Next Button Clicked","2025-09-10T15:42:36.057Z"
"Desktop Button Clicked","2025-09-10T15:42:36.981Z"
"Desktop video 1","2025-09-10T15:42:37.905Z"
"Start Button Clicked","2025-09-10T16:08:59.878Z"
"Next Button Clicked","2025-09-10T16:09:01.147Z"
"Desktop Button Clicked","2025-09-10T16:09:02.329Z"
"Desktop video 1","2025-09-10T16:09:03.144Z"
